contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
original article,Hot electrons in water: injection and ponderomotive acceleration by means of plasmonic nanoelectrodes,"<p>We present a theoretical and experimental study of a plasmonic nanoelectrode architecture that is able to inject bunches of hot electrons into an aqueous environment. In this approach, electrons are accelerated in water by ponderomotive forces up to energies capable of exciting or ionizing water molecules. This ability is enabled by the nanoelectrode structure (extruding out of a metal baseplate), which allows for the production of an intense plasmonic hot spot at the apex of the structure while maintaining the electrical connection to a virtually unlimited charge reservoir. The electron injection is experimentally monitored by recording the current transmitted through the water medium, whereas the electron acceleration is confirmed by observation of the bubble generation for a laser power exceeding a proper threshold. An understanding of the complex physics involved is obtained via a numerical approach that explicitly models the electromagnetic hot spot generation, electron-by-electron injection via multiphoton absorption, acceleration by ponderomotive forces and electron-water interaction through random elastic and inelastic scattering. The model predicts a critical electron density for bubble nucleation that nicely matches the experimental findings and reveals that the efficiency of energy transfer from the plasmonic hot spot to the free electron cloud is much more efficient (17 times higher) in water than in a vacuum. Because of their high kinetic energy and large reduction potential, these proposed wet hot electrons may provide new opportunities in photocatalysis, electrochemical processes and hot-electron driven chemistry.</p>",[],True,"[""Pierfrancesco Zilio"", ""Michele Dipalo"", ""Francesco Tantussi"", ""Gabriele C Messina"", ""Francesco de Angelis""]","Zilio, P., Dipalo, M., Tantussi, F. et al. Hot electrons in water: injection and ponderomotive acceleration by means of plasmonic nanoelectrodes. Light Sci Appl6, e17002 (2017).",1371,1,36,aplusplus,10.1038/lsa.2017.2,https://doi.org/10.1038/lsa.2017.2,,6,lsa,light: science & applications,1484611200,2017-01-17,laser-produced-plasmas;nanophotonics-and-plasmonics;ultrafast-lasers,https://www.nature.com/articles/lsa20172,6
original article,Multi-chromatic silicon nanocrystals,"<p>Silicon nanocrystals (SiNCs) have great potential to become environmental friendly alternatives to heavy-metal containing nanocrystals for applications including medical imaging, lighting and displays. SiNCs exhibit excellent photostability, non-toxicity and abundant resources, but their often reported inefficient and spectrally limited light emission seriously impair their applications. Here we demonstrate a new method that converts SiNCs into an efficient and robust multi-chromatic phosphor. Using ~15&#8201;keV electron-beam irradiation of oxide-capped SiNCs, we introduce several types of color centers into the nanocrystal&#8217;s oxide shell with efficient blue, green and red emission bands, together yielding warm-white photoluminescence, even for a single SiNC. Introduced centers are not native to the original system and we relate them to known defects in silica. Unlike in the silica host, however, here the centers are efficiently optically excitable. Provided further optimization and up-scaling of this method, e-beam irradiated SiNCs can be of great interest as white phosphors for applications such as LEDs.</p>",[],True,"[""Benjamin Bruhn"", ""Benjamin JM Brenny"", ""Sidoeri Dekker"", ""Ilker Do\u011fan"", ""Peter Schall"", ""Katerina Dohnalov\u00e1""]","Bruhn, B., Brenny, B., Dekker, S. et al. Multi-chromatic silicon nanocrystals. Light Sci Appl6, e17007 (2017).",821,3,11,aplusplus,10.1038/lsa.2017.7,https://doi.org/10.1038/lsa.2017.7,,6,lsa,light: science & applications,1486684800,2017-02-10,fluorescence-spectrometry;nanoparticles,https://www.nature.com/articles/lsa20177,6
original article,Real-time dynamics and cross-correlation gating spectroscopy of free-carrier Drude slow-light solitons,"<p>Optical solitons&#8212;stable waves balancing delicately between nonlinearities and dispersive effects&#8212;have advanced the field of ultrafast optics and dynamics, with contributions spanning from supercontinuum generation to soliton fission, optical event horizons, Hawking radiation and optical rogue waves, among others. Here, we investigate picojoule soliton dynamics in silicon slow-light, photonic-bandgap waveguides under the influence of Drude-modeled, free-carrier-induced nonlinear effects. Using real-time and single-shot amplified dispersive Fourier transform spectroscopy simultaneously with high-fidelity cross-correlation frequency resolved optical gating at femtojoule sensitivity and femtosecond resolution, we examine the soliton stability limits, the soliton dynamics including free-carrier quartic slow-light scaling and acceleration, and the Drude electron&#8211;hole plasma-induced perturbations in the Cherenkov radiation and modulation instability. Our real-time single-shot and time-averaged cross-correlation measurements are matched with our detailed theoretical modeling, examining the reduced group velocity free-carrier kinetics on solitons at the picojoule scale.</p>",[],True,"[""Heng Zhou"", ""Shu-Wei Huang"", ""Xiujian Li"", ""James F McMillan"", ""Chi Zhang"", ""Kenneth Kin-Yip Wong"", ""Mingbin Yu"", ""Guo-Qiang Lo"", ""Dim-Lee Kwong"", ""Kun Qiu"", ""Chee Wei Wong""]","Zhou, H., Huang, SW., Li, X. et al. Real-time dynamics and cross-correlation gating spectroscopy of free-carrier Drude slow-light solitons. Light Sci Appl6, e17008 (2017).",799,5,8,aplusplus,10.1038/lsa.2017.8,https://doi.org/10.1038/lsa.2017.8,,6,lsa,light: science & applications,1486684800,2017-02-10,optics-and-photonics;physics,https://www.nature.com/articles/lsa20178,6
original article,Universal switching of plasmonic signals using optical resonator modes,"<p>We propose and investigate, both experimentally and theoretically, a novel mechanism for switching and modulating plasmonic signals based on a Fano interference process, which arises from the coupling between a narrow-band optical Fabry&#8211;P&#233;rot cavity and a surface plasmon polariton (SPP) source. The SPP wave emitted from the cavity is actively modulated in the vicinity of the cavity resonances by altering the cavity Q-factor and/or resonant frequencies. We experimentally demonstrate dynamic SPP modulation both by mechanical control of the cavity length and all-optically by harnessing the ultrafast nonlinearity of the Au mirrors that form the cavity. An electro-optical modulation scheme is also proposed and numerically illustrated. Dynamic operation of the switch via mechanical means yields a modulation in the SPP coupling efficiency of ~80%, while the all-optical control provides an ultrafast modulation with an efficiency of 30% at a rate of ~0.6&#8201;THz. The experimental observations are supported by both analytical and numerical calculations of the mechanical, all-optical and electro-optical modulation methods.</p>",[],True,"[""Cillian PT McPolin"", ""Nicolas Olivier"", ""Jean-Sebastien Bouillard"", ""Daniel O'Connor"", ""Alexey V Krasavin"", ""Wayne Dickson"", ""Gregory A Wurtz"", ""Anatoly V Zayats""]","McPolin, C., Olivier, N., Bouillard, JS. et al. Universal switching of plasmonic signals using optical resonator modes. Light Sci Appl6, e16237 (2017).",622,1,12,aplusplus,10.1038/lsa.2016.237,https://doi.org/10.1038/lsa.2016.237,,6,lsa,light: science & applications,1475020800,2016-09-28,nanophotonics-and-plasmonics;nonlinear-optics;photonic-devices,https://www.nature.com/articles/lsa2016237,6
original article,Reconfigurable metasurfaces that enable light polarization control by light,"<p>Plasmonic metasurfaces have recently attracted much attention because of their novel characteristics with respect to light polarization and wave front control on deep-subwavelength scales. The development of metasurfaces with reconfigurable optical responses is opening new opportunities in high-capacity communications, real-time holograms and adaptive optics. Such tunable devices have been developed in the mid-infrared spectral range and operated in light intensity modulation schemes. Here we present a novel optically reconfigurable hybrid metasurface that enables polarization tuning at optical frequencies. The functionality of tuning is realized by switching the coupling conditions between the plasmonic modes and the binary isomeric states of an ethyl red switching layer upon light stimulation. We achieved more than 20&#176; nonlinear changes in the transmitted polarization azimuth using just 4&#8201;mW of switching light power. Such design schemes and principles could be easily applied to dynamically adjust the functionalities of other metasurfaces.</p>",[],True,"[""Meng-Xin Ren"", ""Wei Wu"", ""Wei Cai"", ""Biao Pi"", ""Xin-Zheng Zhang"", ""Jing-Jun Xu""]","Ren, MX., Wu, W., Cai, W. et al. Reconfigurable metasurfaces that enable light polarization control by light. Light Sci Appl6, e16254 (2017).",2295,1,51,aplusplus,10.1038/lsa.2016.254,https://doi.org/10.1038/lsa.2016.254,,6,lsa,light: science & applications,1479254400,2016-11-16,metamaterials;nanophotonics-and-plasmonics;nonlinear-optics,https://www.nature.com/articles/lsa2016254,6
original article,Quantifying backflash radiation to prevent zero-error attacks in quantum key distribution,"<p>Single-photon avalanche diodes (SPADs) are the most widespread commercial solution for single-photon counting in quantum key distribution applications. However, the secondary photon emission that arises from the avalanche of charge carriers that occurs during the detection of a photon may be exploited by an eavesdropper to gain information without inducing errors in the transmission key. In this paper, we characterize such backflash light in gated InGaAs/InP SPADs and discuss its spectral and temporal characterization for different detector models and different operating parameters. We qualitatively bound the maximum information leakage due to backflash light and propose solutions for preventing such leakage.</p>",[],True,"[""Alice Meda"", ""Ivo Pietro Degiovanni"", ""Alberto Tosi"", ""Zhiliang Yuan"", ""Giorgio Brida"", ""Marco Genovese""]","Meda, A., Degiovanni, I., Tosi, A. et al. Quantifying backflash radiation to prevent zero-error attacks in quantum key distribution. Light Sci Appl6, e16261 (2017).",717,1,23,aplusplus,10.1038/lsa.2016.261,https://doi.org/10.1038/lsa.2016.261,,6,lsa,light: science & applications,1480896000,2016-12-05,quantum-optics;single-photons-and-quantum-effects,https://www.nature.com/articles/lsa2016261,6
original article,Hybrid remote quantum dot/powder phosphor designs for display backlights,"<p>Quantum dots are ideally suited for color conversion in light emitting diodes owing to their spectral tunability, high conversion efficiency and narrow emission bands. These properties are particularly important for display backlights; the highly saturated colors generated by quantum dots justify their higher production cost. Here, we demonstrate the benefits of a hybrid remote phosphor approach that combines a green-emitting europium-doped phosphor with red-emitting CdSe/CdS core/shell quantum dots. Different stacking geometries, including mixed and separate layers of both materials, are studied at the macroscopic and microscopic levels to identify the configuration that achieves maximum device efficiency while minimizing material usage. The influence of reabsorption, optical outcoupling and refractive index-matching between the layers is evaluated in detail with respect to device efficiency and cost. From the findings of this study, general guidelines are derived to optimize both the cost and efficiency of CdSe/CdS and other (potentially cadmium-free) quantum dot systems. When reabsorption of the green and/or red emission is significant compared to the absorption strength for the blue emission of the pumping light emitting diode, the hybrid remote phosphor approach becomes beneficial.</p>",[],True,"[""Sofie Abe"", ""Jonas J Joos"", ""Lisa IDJ Martin"", ""Zeger Hens"", ""Philippe F Smet""]","Abe, S., Joos, J., Martin, L. et al. Hybrid remote quantum dot/powder phosphor designs for display backlights. Light Sci Appl6, e16271 (2017).",2684,7,88,aplusplus,10.1038/lsa.2016.271,https://doi.org/10.1038/lsa.2016.271,,6,lsa,light: science & applications,1481241600,2016-12-09,inorganic-leds;quantum-dots,https://www.nature.com/articles/lsa2016271,6
original article,Spontaneous emission in non-local materials,"<p>Light&#8211;matter interactions can be strongly modified by the surrounding environment. Here, we report on the first experimental observation of molecular spontaneous emission inside a highly non-local metamaterial based on a plasmonic nanorod assembly. We show that the emission process is dominated not only by the topology of its local effective medium dispersion, but also by the non-local response of the composite, so that metamaterials with different geometric parameters but the same local effective medium properties exhibit different Purcell factors. A record-high enhancement of a decay rate is observed, in agreement with the developed quantitative description of the Purcell effect in a non-local medium. An engineered material non-locality introduces an additional degree of freedom into quantum electrodynamics, enabling new applications in quantum information processing, photochemistry, imaging and sensing with macroscopic composites.</p>",[],True,"[""Pavel Ginzburg"", ""Diane J Roth"", ""Mazhar E Nasir"", ""Paulina Segovia"", ""Alexey V Krasavin"", ""James Levitt"", ""Liisa M Hirvonen"", ""Brian Wells"", ""Klaus Suhling"", ""David Richards"", ""Viktor A Podolskiy"", ""Anatoly V Zayats""]","Ginzburg, P., Roth, D., Nasir, M. et al. Spontaneous emission in non-local materials. Light Sci Appl6, e16273 (2017).",1401,1,51,aplusplus,10.1038/lsa.2016.273,https://doi.org/10.1038/lsa.2016.273,,6,lsa,light: science & applications,1482105600,2016-12-19,metamaterials;nanophotonics-and-plasmonics,https://www.nature.com/articles/lsa2016273,6
original article,Broadband spin Hall effect of light in single nanoapertures,"<p>With properties not previously available, optical metamaterials and metasurfaces have shown their great potential in the precise control of light waves at the nanoscale. However, the use of current metamaterials and metasurfaces is limited by the collective response of the meta-atoms/molecules, which means that a single element cannot provide the functionalities required by most applications. Here, we demonstrate for the first time that a single achiral nanoaperture can be utilized as a meta-macromolecule to achieve giant angular spin Hall effect of light. By controlling the spin-related momenta, we show that these nanoapertures can enable full control of the phase gradient at a deep-subwavelength level, thus forming unique building blocks for optical metasurfaces. As a proof-of-concept demonstration, a miniaturized Bessel-like beam generator and flat lens are designed and experimentally characterized. The results presented here may open a door for the development of meta-macromolecule-based metasurfaces for integrated optical systems and nanophotonics.</p>",[],True,"[""Xian-Gang Luo"", ""Ming-Bo Pu"", ""Xiong Li"", ""Xiao-Liang Ma""]","Luo, XG., Pu, MB., Li, X. et al. Broadband spin Hall effect of light in single nanoapertures. Light Sci Appl6, e16276 (2017).",1682,1,86,aplusplus,10.1038/lsa.2016.276,https://doi.org/10.1038/lsa.2016.276,,6,lsa,light: science & applications,1483660800,2017-01-06,metamaterials;nanophotonics-and-plasmonics,https://www.nature.com/articles/lsa2016276,6
original article,Double-layer graphene for enhanced tunable infrared plasmonics,"<p>Graphene is emerging as a promising material for photonic applications owing to its unique optoelectronic properties. Graphene supports tunable, long-lived and extremely confined plasmons that have great potential for applications such as biosensing and optical communications. However, in order to excite plasmonic resonances in graphene, this material requires a high doping level, which is challenging to achieve without degrading carrier mobility and stability. Here, we demonstrate that the infrared plasmonic response of a graphene multilayer stack is analogous to that of a highly doped single layer of graphene, preserving mobility and supporting plasmonic resonances with higher oscillator strength than previously explored single-layer devices. Particularly, we find that the optically equivalent carrier density in multilayer graphene is larger than the sum of those in the individual layers. Furthermore, electrostatic biasing in multilayer graphene is enhanced with respect to single layer due to the redistribution of carriers over different layers, thus extending the spectral tuning range of the plasmonic structure. The superior effective doping and improved tunability of multilayer graphene stacks should enable a plethora of future infrared plasmonic devices with high optical performance and wide tunability.</p>",[],True,"[""Daniel Rodrigo"", ""Andreas Tittl"", ""Odeta Limaj"", ""F Javier Garc\u00eda de Abajo"", ""Valerio Pruneri"", ""Hatice Altug""]","Rodrigo, D., Tittl, A., Limaj, O. et al. Double-layer graphene for enhanced tunable infrared plasmonics. Light Sci Appl6, e16277 (2017).",2936,4,84,aplusplus,10.1038/lsa.2016.277,https://doi.org/10.1038/lsa.2016.277,,6,lsa,light: science & applications,1483920000,2017-01-09,mid-infrared-photonics;nanophotonics-and-plasmonics;optical-properties-and-devices,https://www.nature.com/articles/lsa2016277,6
