contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
news & views,Novel efficient THz undulator using a laser-driven wire,,,"[{'address': 'Center for Relativistic Laser Science, Institute for Basic Science (IBS), Gwangju, 61005, Korea', 'authors': ['Kazuhisa Nakajima']}]",True,['Kazuhisa Nakajima'],"Nakajima, K. Novel efficient THz undulator using a laser-driven wire. Light Sci Appl6, e17063 (2017).",574,1,4,aplusplus,10.1038/lsa.2017.63,https://doi.org/10.1038/lsa.2017.63,,5,lsa,light: science & applications,1495152000,2017-05-19,laser-produced-plasmas;mid-infrared-photonics,https://www.nature.com/articles/lsa201763,6
original article,"Plasmonic enhancement and polarization dependence of nonlinear upconversion emissions from single gold nanorod@SiO2@CaF2:Yb3+,Er3+ hybrid core–shell–satellite nanostructures","<p>Lanthanide-doped upconversion nanocrystals (UCNCs) have recently become an attractive nonlinear fluorescence material for use in bioimaging because of their tunable spectral characteristics and exceptional photostability. Plasmonic materials are often introduced into the vicinity of UCNCs to increase their emission intensity by means of enlarging the absorption cross-section and accelerating the radiative decay rate. Moreover, plasmonic nanostructures (e.g., gold nanorods, GNRs) can also influence the polarization state of the UC fluorescence&#8212;an effect that is of fundamental importance for fluorescence polarization-based imaging methods yet has not been discussed previously. To study this effect, we synthesized GNR@SiO<sub>2</sub>@CaF<sub>2</sub>:Yb<sup>3+</sup>,Er<sup>3+</sup> hybrid core&#8211;shell&#8211;satellite nanostructures with precise control over the thickness of the SiO<sub>2</sub> shell. We evaluated the shell thickness-dependent plasmonic enhancement of the emission intensity in ensemble and studied the plasmonic modulation of the emission polarization at the single-particle level. The hybrid plasmonic UC nanostructures with an optimal shell thickness exhibit an improved bioimaging performance compared with bare UCNCs, and we observed a polarized nature of the light at both UC emission bands, which stems from the relationship between the excitation polarization and GNR orientation. We used electrodynamic simulations combined with F&#246;rster resonance energy transfer theory to fully explain the observed effect. Our results provide extensive insights into how the coherent interaction between the emission dipoles of UCNCs and the plasmonic dipoles of the GNR determines the emission polarization state in various situations and thus open the way to the accurate control of the UC emission anisotropy for a wide range of bioimaging and biosensing applications.</p>",,"[{'address': 'Department of Applied Physics, The Hong Kong Polytechnic University, Hong Kong, China', 'authors': ['Jijun He', ',\xa0Zhiyong Bao', ',\xa0Jianhua Hao', ',\xa0Jiyan Dai', ',\xa0Siu-Fung Yu', '\xa0&\xa0Dang Yuan Lei']}, {'address': 'Key Laboratory of Optoelectronic Materials Chemistry and Physics, Fujian Institute of Research on the Structure of Matter, Chinese Academy of Sciences, Fuzhou, 350002, Fujian, China', 'authors': ['Wei Zheng', '\xa0&\xa0Xueyuan Chen']}, {'address': 'Central European Institute of Technology, Brno University of Technology, Brno, 61669, Czech Republic', 'authors': ['Filip Ligmajer']}, {'address': 'Department of Chemistry, Hong Kong Baptist University, Hong Kong, China', 'authors': ['Chi-Fai Chan', '\xa0&\xa0Ka-Leung Wong']}]",True,"['Jijun He', 'Wei Zheng', 'Filip Ligmajer', 'Chi-Fai Chan', 'Zhiyong Bao', 'Ka-Leung Wong', 'Xueyuan Chen', 'Jianhua Hao', 'Jiyan Dai', 'Siu-Fung Yu', 'Dang Yuan Lei']","He, J., Zheng, W., Ligmajer, F. et al. Plasmonic enhancement and polarization dependence of nonlinear upconversion emissions from single gold nanorod@SiO2@CaF2:Yb3+, Er3+hybrid core–shell–satellite nanostructures. Light Sci Appl6, e16217 (2017).",2480,68,65,aplusplus,10.1038/lsa.2016.217,https://doi.org/10.1038/lsa.2016.217,,5,lsa,light: science & applications,1473120000,2016-09-06,nanoparticles;nanophotonics-and-plasmonics,https://www.nature.com/articles/lsa2016217,6
original article,Nanosphere lithography for optical fiber tip nanoprobes,"<p>This paper reports a simple and economical method for the fabrication of nanopatterned optical fiber nanotips. The proposed patterning approach relies on the use of the nanosphere lithography of the optical fiber end facet. Polystyrene (PS) nanospheres are initially self-assembled in a hexagonal array on the surface of water. The created pattern is then transferred onto an optical fiber tip (OFT). The PS monolayer colloidal crystal on the OFT is the basic building block that is used to obtain different periodic structures by applying further treatment to the fiber, such as metal coating, nanosphere size reduction and sphere removal. Ordered dielectric and metallo-dielectric sphere arrays, metallic nanoisland arrays and hole-patterned metallic films with feature sizes down to the submicron scale are achievable using this approach. Furthermore, the sizes and shapes of these periodic structures can be tailored by altering the fabrication conditions. The results indicate that the proposed self-assembly approach is a valuable route for the development of highly repeatable metallo-dielectric periodic patterns on OFTs with a high degree of order and low fabrication cost. The method can be easily extended to simultaneously produce multiple fibers, opening a new route to the development of fiber-optic nanoprobes. Finally, we demonstrate the effective application of the patterned OFTs as surface-enhanced Raman spectroscopy nanoprobes.</p>",,"[{'address': 'Optoelectronic Division—Engineering Department, University of Sannio, Benevento, 82100, Italy', 'authors': ['Marco Pisco', ',\xa0Giuseppe Quero', ',\xa0Alberto Micco', ',\xa0Antonello Cutolo', '\xa0&\xa0Andrea Cusano']}, {'address': 'National Research Council, Institute for Macromolecular Studies (ISMAC-CNR), Milano, 20133, Italy', 'authors': ['Francesco Galeotti', '\xa0&\xa0Giorgio Grisci']}, {'address': 'ENEA, Portici Research Center, Portici, 80055, Italy', 'authors': ['Lucia V Mercaldo', '\xa0&\xa0Paola Delli Veneri']}]",True,"['Marco Pisco', 'Francesco Galeotti', 'Giuseppe Quero', 'Giorgio Grisci', 'Alberto Micco', 'Lucia V Mercaldo', 'Paola Delli Veneri', 'Antonello Cutolo', 'Andrea Cusano']","Pisco, M., Galeotti, F., Quero, G. et al. Nanosphere lithography for optical fiber tip nanoprobes. Light Sci Appl6, e16229 (2017).",1866,2,36,aplusplus,10.1038/lsa.2016.229,https://doi.org/10.1038/lsa.2016.229,,5,lsa,light: science & applications,1473292800,2016-09-08,lithography;optical-sensors,https://www.nature.com/articles/lsa2016229,6
original article,Red light at intensities above 10 lx alters sleep–wake behavior in mice,"<p>Sleep is regulated by two mechanisms: the homeostatic process and the circadian clock. Light affects sleep and alertness by entraining the circadian clock, and acutely inducing sleep/alertness, in a manner mediated by intrinsically photosensitive retinal ganglion cells. Because intrinsically photosensitive retinal ganglion cells are believed to be minimally sensitive to red light, which is widely used for illumination to reduce the photic disturbance to nocturnal animals during the dark phase. However, the appropriate intensity of the red light is unknown. In the present study, we recorded electroencephalograms and electromyograms of freely moving mice to investigate the effects of red light emitted by light-emitting diodes at different intensities and for different durations on the sleep&#8211;wake behavior of mice. White light was used as a control. Unexpectedly, red light exerted potent sleep-inducing effects and changed the sleep architecture in terms of the duration and number of sleep episodes, the stage transition, and the EEG power density when the intensity was &gt;20&#8201;lx. Subsequently, we lowered the light intensity and demonstrated that red light at or below 10&#8201;lx did not affect sleep&#8211;wake behavior. White light markedly induced sleep and disrupted sleep architecture even at an intensity as low as 10&#8201;lx. Our findings highlight the importance of limiting the intensity of red light (&#10877;10&#8201;lx) to avoid optical influence in nocturnal behavioral experiments, particularly in the field of sleep and circadian research.</p>",,"[{'address': 'Department of Pharmacology, Institutes of Brain Science and Collaborative Innovation Center for Brain Science, School of Basic Medical Sciences, State Key Laboratory of Medical Neurobiology and Shanghai Key Laboratory of Clinical Geriatric Medicine, Shanghai Medical College, Fudan University, Shanghai, 200032, China', 'authors': ['Ze Zhang', ',\xa0Hui-Jing Wang', ',\xa0Dian-Ru Wang', ',\xa0Wei-Min Qu', '\xa0&\xa0Zhi-Li Huang']}]",True,"['Ze Zhang', 'Hui-Jing Wang', 'Dian-Ru Wang', 'Wei-Min Qu', 'Zhi-Li Huang']","Zhang, Z., Wang, H., Wang, D. et al. Red light at intensities above 10 lx alters sleep–wake behavior in mice. Light Sci Appl6, e16231 (2017).",3518,3,24,aplusplus,10.1038/lsa.2016.231,https://doi.org/10.1038/lsa.2016.231,,5,lsa,light: science & applications,1474934400,2016-09-27,inorganic-leds;optoelectronic-devices-and-components,https://www.nature.com/articles/lsa2016231,6
original article,"Scalable, ultra-resistant structural colors based on network metamaterials","<p>Structural colors have drawn wide attention for their potential as a future printing technology for various applications, ranging from biomimetic tissues to adaptive camouflage materials. However, an efficient approach to realize robust colors with a scalable fabrication technique is still lacking, hampering the realization of practical applications with this platform. Here, we develop a new approach based on large-scale network metamaterials that combine dealloyed subwavelength structures at the nanoscale with lossless, ultra-thin dielectric coatings. By using theory and experiments, we show how subwavelength dielectric coatings control a mechanism of resonant light coupling with epsilon-near-zero regions generated in the metallic network, generating the formation of saturated structural colors that cover a wide portion of the spectrum. Ellipsometry measurements support the efficient observation of these colors, even at angles of 70&#176;. The network-like architecture of these nanomaterials allows for high mechanical resistance, which is quantified in a series of nano-scratch tests. With such remarkable properties, these metastructures represent a robust design technology for real-world, large-scale commercial applications.</p>",,"[{'address': 'John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, 02138, USA', 'authors': ['Henning Galinski', ',\xa0Hao Dong', '\xa0&\xa0Federico Capasso']}, {'address': 'Laboratory for Nanometallurgy, ETH Zurich, Vladimir-Prelog-Weg 1-5/10, Zurich 8093, Switzerland', 'authors': ['Henning Galinski', ',\xa0Hao Dong', '\xa0&\xa0Ralph Spolenak']}, {'address': 'PRIMALIGHT, King Abdullah University of Science and Technology (KAUST), Thuwal, 23955-6900, Saudi Arabia', 'authors': ['Gael Favraud', ',\xa0Juan S Totero Gongora', '\xa0&\xa0Andrea Fratalocchi']}, {'address': 'Anton Paar TriTec SA, Peseux, CH-2034, Switzerland', 'authors': ['Grégory Favaro']}, {'address': 'Ion Beam Physics, ETH Zurich, Otto-Stern-Weg 5, Zurich 8093, Switzerland', 'authors': ['Max Döbeli']}]",True,"['Henning Galinski', 'Gael Favraud', 'Hao Dong', 'Juan S Totero Gongora', 'Grégory Favaro', 'Max Döbeli', 'Ralph Spolenak', 'Andrea Fratalocchi', 'Federico Capasso']","Galinski, H., Favraud, G., Dong, H. et al. Scalable, ultra-resistant structural colors based on network metamaterials. Light Sci Appl6, e16233 (2017).",2597,48,39,aplusplus,10.1038/lsa.2016.233,https://doi.org/10.1038/lsa.2016.233,,5,lsa,light: science & applications,1474934400,2016-09-27,metamaterials;nanophotonics-and-plasmonics;sub-wavelength-optics,https://www.nature.com/articles/lsa2016233,6
original article,Quantification of light-enhanced ionic transport in lead iodide perovskite thin films and its solar cell applications,"<p>Ionic transport in organometal halide perovskites is of vital importance because it dominates anomalous phenomena in perovskite solar cells, from hysteresis to switchable photovoltaic effects. However, excited state ionic transport under illumination has remained elusive, although it is essential for understanding the unusual light-induced effects (light-induced self-poling, photo-induced halide segregation and slow photoconductivity response) in organometal halide perovskites for optoelectronic applications. Here, we quantitatively demonstrate light-enhanced ionic transport in CH<sub>3</sub>NH<sub>3</sub>PbI<sub>3</sub> over a wide temperature range of 17&#8211;295&#8201;K, which reveals a reduction in ionic transport activation energy by approximately a factor of five (from 0.82 to 0.15&#8201;eV) under illumination. The pure ionic conductance is obtained by separating it from the electronic contribution in cryogenic galvanostatic and voltage-current measurements. On the basis of these findings, we design a novel light-assisted method of catalyzing ionic interdiffusion between CH<sub>3</sub>NH<sub>3</sub>I and PbI<sub>2</sub> stacking layers in sequential deposition perovskite synthesis. X-ray diffraction patterns indicate a significant reduction of PbI<sub>2</sub> residue in the optimized CH<sub>3</sub>NH<sub>3</sub>PbI<sub>3</sub> thin film produced via light-assisted sequential deposition, and the resulting solar cell efficiency is increased by over 100% (7.5%&#8211;15.7%) with little PbI<sub>2</sub> residue. This new method enables fine control of the reaction depth in perovskite synthesis and, in turn, supports light-enhanced ionic transport.</p>",,"[{'address': 'State Key Laboratory for Mesoscopic Physics and Electron Microscopy Laboratory, School of Physics, Peking University, Beijing, 100871, China', 'authors': ['Yi-Cheng Zhao', ',\xa0Wen-Ke Zhou', ',\xa0Xu Zhou', ',\xa0Kai-Hui Liu', ',\xa0Da-Peng Yu', '\xa0&\xa0Qing Zhao']}, {'address': 'Collaborative Innovation Center of Quantum Matter, Beijing, 100084, China', 'authors': ['Kai-Hui Liu', ',\xa0Da-Peng Yu', '\xa0&\xa0Qing Zhao']}]",True,"['Yi-Cheng Zhao', 'Wen-Ke Zhou', 'Xu Zhou', 'Kai-Hui Liu', 'Da-Peng Yu', 'Qing Zhao']","Zhao, Y., Zhou, W., Zhou, X. et al. Quantification of light-enhanced ionic transport in lead iodide perovskite thin films and its solar cell applications. Light Sci Appl6, e16243 (2017).",3489,0,117,aplusplus,10.1038/lsa.2016.243,https://doi.org/10.1038/lsa.2016.243,,5,lsa,light: science & applications,1477008000,2016-10-21,photonic-devices;solar-energy-and-photovoltaic-technology,https://www.nature.com/articles/lsa2016243,6
original article,Parametric down-conversion photon-pair source on a nanophotonic chip,"<p>Quantum-photonic chips, which integrate quantum light sources alongside active and passive optical elements, as well as single-photon detectors, show great potential for photonic quantum information processing and quantum technology. Mature semiconductor nanofabrication processes allow for scaling such photonic integrated circuits to on-chip networks of increasing complexity. Second-order nonlinear materials are the method of choice for generating photonic quantum states in the overwhelming majority of linear optic experiments using bulk components, but integration with waveguide circuitry on a nanophotonic chip proved to be challenging. Here, we demonstrate such an on-chip parametric down-conversion source of photon pairs based on second-order nonlinearity in an aluminum-nitride microring resonator. We show the potential of our source for quantum information processing by measuring the high visibility anti-bunching of heralded single photons with nearly ideal state purity. Our down-conversion source yields measured coincidence rates of 80&#8201;Hz, which implies MHz generation rates of correlated photon pairs. Low noise performance is demonstrated by measuring high coincidence-to-accidental ratios. The generated photon pairs are spectrally far separated from the pump field, providing great potential for realizing sufficient on-chip filtering and monolithic integration of quantum light sources, waveguide circuits and single-photon detectors.</p>",,"[{'address': 'Department of Electrical Engineering, Yale University, New Haven, 06511, CT, USA', 'authors': ['Xiang Guo', ',\xa0Chang-ling Zou', ',\xa0Carsten Schuck', ',\xa0Hojoong Jung', ',\xa0Risheng Cheng', '\xa0&\xa0Hong X Tang']}]",True,"['Xiang Guo', 'Chang-ling Zou', 'Carsten Schuck', 'Hojoong Jung', 'Risheng Cheng', 'Hong X Tang']","Guo, X., Zou, C., Schuck, C. et al. Parametric down-conversion photon-pair source on a nanophotonic chip. Light Sci Appl6, e16249 (2017).",5479,1,58,aplusplus,10.1038/lsa.2016.249,https://doi.org/10.1038/lsa.2016.249,,5,lsa,light: science & applications,1478476800,2016-11-07,integrated-optics;microresonators;nonlinear-optics;photonic-devices,https://www.nature.com/articles/lsa2016249,6
original article,Wide-field three-photon excitation in biological samples,"<p>Three-photon wide-field depth-resolved excitation is used to overcome some of the limitations in conventional point-scanning two- and three-photon microscopy. Excitation of chromophores as diverse as channelrhodopsins and quantum dots is shown, and a penetration depth of more than 700&#8201;&#956;m into fixed scattering brain tissue is achieved, approximately twice as deep as that achieved using two-photon wide-field excitation. Compatibility with live animal experiments is confirmed by imaging the cerebral vasculature of an anesthetized mouse; a complete focal stack was obtained without any evidence of photodamage. As an additional validation of the utility of wide-field three-photon excitation, functional excitation is demonstrated by performing three-photon optogenetic stimulation of cultured mouse hippocampal neurons expressing a channelrhodopsin; action potentials could reliably be excited without causing photodamage.</p>",,"[{'address': 'Department of Biological Engineering, Massachusetts Institute of Technology, Cambridge, 02139, MA, USA', 'authors': ['Christopher J Rowlands', ',\xa0Edward S Boyden', '\xa0&\xa0Peter TC So']}, {'address': 'Media Lab, Massachusetts Institute of Technology, Cambridge, 02139, MA, USA', 'authors': ['Demian Park', ',\xa0Kiryl D Piatkevich', '\xa0&\xa0Edward S Boyden']}, {'address': 'Department of Chemistry, Massachusetts Institute of Technology, Cambridge, 02139, MA, USA', 'authors': ['Oliver T Bruns', '\xa0&\xa0Moungi G Bawendi']}, {'address': 'Department of Radiation Oncology, Edwin L. Steele Laboratories, Massachusetts General Hospital and Harvard Medical School, Boston, MA 02114, USA', 'authors': ['Dai Fukumura', '\xa0&\xa0Rakesh K Jain']}, {'address': 'Department of Brain and Cognitive Sciences, McGovern Institute and MIT Center for Neurobiological Engineering, Massachusetts Institute of Technology, Cambridge, MA 02139-4307, USA', 'authors': ['Edward S Boyden']}, {'address': 'Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, 02139, MA, USA', 'authors': ['Peter TC So']}]",True,"['Christopher J Rowlands', 'Demian Park', 'Oliver T Bruns', 'Kiryl D Piatkevich', 'Dai Fukumura', 'Rakesh K Jain', 'Moungi G Bawendi', 'Edward S Boyden', 'Peter TC So']","Rowlands, C., Park, D., Bruns, O. et al. Wide-field three-photon excitation in biological samples. Light Sci Appl6, e16255 (2017).",2157,10,27,aplusplus,10.1038/lsa.2016.255,https://doi.org/10.1038/lsa.2016.255,,5,lsa,light: science & applications,1479859200,2016-11-23,biophotonics;imaging-and-sensing;multiphoton-microscopy;wide-field-fluorescence-microscopy,https://www.nature.com/articles/lsa2016255,6
original article,Plasmon-assisted optical trapping and anti-trapping,"<p>The ability to manipulate small objects with focused laser beams has opened a venue for investigating dynamical phenomena relevant to both fundamental and applied science. Nanophotonic and plasmonic structures enable superior performance in optical trapping via highly confined near-fields. In this case, the interplay between the excitation field, re-scattered fields and the eigenmodes of a structure can lead to remarkable effects; one such effect, as reported here, is particle trapping by laser light in a vicinity of metal surface. Surface plasmon excitation at the metal substrate plays a key role in tailoring the optical forces acting on a nearby particle. Depending on whether the illuminating Gaussian beam is focused above or below the metal-dielectric interface, an order-of-magnitude enhancement or reduction of the trap stiffness is achieved compared with that of standard glass substrates. Furthermore, a novel plasmon-assisted anti-trapping effect (particle repulsion from the beam axis) is predicted and studied. A highly accurate particle sorting scheme based on the new anti-trapping effect is analyzed. The ability to distinguish and configure various electromagnetic channels through the developed analytical theory provides guidelines for designing auxiliary nanostructures and achieving ultimate control over mechanical motion at the micro- and nano-scales.</p>",,"[{'address': 'Department of Nanophotonics and Metamaterials, ITMO University, Birzhevaja Line, 14, 199034, St Petersburg, Russia', 'authors': ['Aliaksandra Ivinskaya', ',\xa0Mihail I Petrov', ',\xa0Andrey A Bogdanov', ',\xa0Pavel Ginzburg', '\xa0&\xa0Alexander S Shalin']}, {'address': 'School of Electrical Engineering, Tel Aviv University, Ramat Aviv, Tel Aviv, 69978, Israel', 'authors': ['Ivan Shishkin', '\xa0&\xa0Pavel Ginzburg']}, {'address': 'Kotel’nikov Institute of Radio Engineering and Electronics of Russian Academy of Sciences (Ulyanovsk branch), Goncharova Street 48/2, Ulyanovsk, 432071, Russia', 'authors': ['Alexander S Shalin']}, {'address': 'Ulyanovsk State University, Lev Tolstoy Street 42, Ulyanovsk, 432017, Russia', 'authors': ['Alexander S Shalin']}]",True,"['Aliaksandra Ivinskaya', 'Mihail I Petrov', 'Andrey A Bogdanov', 'Ivan Shishkin', 'Pavel Ginzburg', 'Alexander S Shalin']","Ivinskaya, A., Petrov, M., Bogdanov, A. et al. Plasmon-assisted optical trapping and anti-trapping. Light Sci Appl6, e16258 (2017).",1370,3,35,aplusplus,10.1038/lsa.2016.258,https://doi.org/10.1038/lsa.2016.258,,5,lsa,light: science & applications,1480291200,2016-11-28,nanophotonics-and-plasmonics;optical-manipulation-and-tweezers;sub-wavelength-optics,https://www.nature.com/articles/lsa2016258,6
original article,Generation of wavelength-independent subwavelength Bessel beams using metasurfaces,"<p>Bessel beams are of great interest due to their unique non-diffractive properties. Using a conical prism or an objective paired with an annular aperture are two typical approaches for generating zeroth-order Bessel beams. However, the former approach has a limited numerical aperture (NA), and the latter suffers from low efficiency, as most of the incident light is blocked by the aperture. Furthermore, an additional phase-modulating element is needed to generate higher-order Bessel beams, which in turn adds complexity and bulkiness to the system. We overcome these problems using dielectric metasurfaces to realize meta-axicons with additional functionalities not achievable with conventional means. We demonstrate meta-axicons with high NA up to 0.9 capable of generating Bessel beams with full width at half maximum about as small as ~&#955;/3 (&#955;=405&#8201;nm). Importantly, these Bessel beams have transverse intensity profiles independent of wavelength across the visible spectrum. These meta-axicons can enable advanced research and applications related to Bessel beams, such as laser fabrication, imaging and optical manipulation.</p>",,"[{'address': 'Harvard John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, 02138, MA, USA', 'authors': ['Wei Ting Chen', ',\xa0Mohammadreza Khorasaninejad', ',\xa0Alexander Y. Zhu', ',\xa0Jaewon Oh', ',\xa0Robert C. Devlin', ',\xa0Aun Zaidi', '\xa0&\xa0Federico Capasso']}, {'address': 'University of Waterloo, Waterloo, N2L 3G1, ON, Canada', 'authors': ['Jaewon Oh']}]",True,"['Wei Ting Chen', 'Mohammadreza Khorasaninejad', 'Alexander Y. Zhu', 'Jaewon Oh', 'Robert C. Devlin', 'Aun Zaidi', 'Federico Capasso']","Chen, W., Khorasaninejad, M., Zhu, A. et al. Generation of wavelength-independent subwavelength Bessel beams using metasurfaces. Light Sci Appl6, e16259 (2017).",2899,1,60,aplusplus,10.1038/lsa.2016.259,https://doi.org/10.1038/lsa.2016.259,,5,lsa,light: science & applications,1480723200,2016-12-03,metamaterials;nanophotonics-and-plasmonics;sub-wavelength-optics,https://www.nature.com/articles/lsa2016259,6
