contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Ripples in spacetime,,,[],True,[],"Ripples in spacetime. Nature Phys13, 1027 (2017).",271,26,0,aplusplus,10.1038/nphys4321,https://doi.org/10.1038/nphys4321,Nobel Prizes in Physics,11,nphys,nature physics,1509494400,2017-11-01,astronomy-and-astrophysics;scientific-community,https://www.nature.com/articles/nphys4321,13
editorial,A matter of quantum,,,[],True,[],"A matter of quantum. Nature Phys13, 1027 (2017).",429,9,5,aplusplus,10.1038/nphys4322,https://doi.org/10.1038/nphys4322,,11,nphys,nature physics,1509494400,2017-11-01,electronic-properties-and-materials;quantum-mechanics;quantum-optics,https://www.nature.com/articles/nphys4322,13
commentary,Photoemission of quantum materials,,,"[{'address': 'Department of Physics, Massachusetts Institute of Technology, Cambridge, 02139, Massachusetts, USA', 'authors': ['Nuh Gedik']}, {'address': 'Physics Department, University of California, Davis, 95616, California, USA', 'authors': ['Inna Vishik']}]",False,"['Nuh Gedik', 'Inna Vishik']","Gedik, N., Vishik, I. Photoemission of quantum materials. Nature Phys13, 1029–1033 (2017).",1665,12,12,aplusplus,10.1038/nphys4273,https://doi.org/10.1038/nphys4273,Quantum materials,11,nphys,nature physics,1506297600,2017-09-25,electronic-properties-and-materials;superconducting-properties-and-materials;topological-matter,https://www.nature.com/articles/nphys4273,13
commentary,Celebrate the scientific hierarchy,,,"[{'address': 'Department of Mathematics and Applied Mathematics, University of Cape Town, Rondebosch, 7701, Cape Town, South Africa', 'authors': ['George Ellis']}, {'address': 'Department of Physics, Beecroft Institute of Particle Astrophysics and Cosmology, University of Oxford, Denys Wilkinson Building, 1 Keble Road, Oxford, OX1 3RH, UK', 'authors': ['David Sloan']}]",True,"['George Ellis', 'David Sloan']","Ellis, G., Sloan, D. Celebrate the scientific hierarchy. Nature Phys13, 1034 (2017).",111,4,0,aplusplus,10.1038/nphys4300,https://doi.org/10.1038/nphys4300,,11,nphys,nature physics,1509494400,2017-11-01,physics;statistical-physics,https://www.nature.com/articles/nphys4300,13
thesis,Colonizing mars,,,[],True,['Mark Buchanan'],"Buchanan, M. Colonizing mars. Nature Phys13, 1035 (2017).",896,3,1,aplusplus,10.1038/nphys4311,https://doi.org/10.1038/nphys4311,,11,nphys,nature physics,1509494400,2017-11-01,scientific-community-and-society;space-physics,https://www.nature.com/articles/nphys4311,13
books & arts,A scientist walks into a bar,,,"[{'address': 'Associate Editor at Nature Communications', 'authors': ['Nina Meinzer']}]",True,['Nina Meinzer'],"Meinzer, N. A scientist walks into a bar. Nature Phys13, 1036 (2017).",55,35,0,aplusplus,10.1038/nphys4307,https://doi.org/10.1038/nphys4307,,11,nphys,nature physics,1508716800,2017-10-23,science-in-culture,https://www.nature.com/articles/nphys4307,13
research highlights,Sensor extraordinaire,,,[],True,['Andreas H. Trabesinger'],"Trabesinger, A. Sensor extraordinaire. Nature Phys13, 1037 (2017).",87,2,0,aplusplus,10.1038/nphys4316,https://doi.org/10.1038/nphys4316,,11,nphys,nature physics,1509494400,2017-11-01,sensors-and-biosensors;spintronics,https://www.nature.com/articles/nphys4316,13
research highlights,Going long,,,[],True,['Andrea Taroni'],"Taroni, A. Going long. Nature Phys13, 1037 (2017).",71,3,0,aplusplus,10.1038/nphys4317,https://doi.org/10.1038/nphys4317,,11,nphys,nature physics,1509494400,2017-11-01,condensed-matter-physics;statistical-physics;theoretical-physics,https://www.nature.com/articles/nphys4317,13
research highlights,Agreement in disagreement,,,[],True,['Iulia Georgescu'],"Georgescu, I. Agreement in disagreement. Nature Phys13, 1037 (2017).",47,3,0,aplusplus,10.1038/nphys4318,https://doi.org/10.1038/nphys4318,,11,nphys,nature physics,1509494400,2017-11-01,atomic-and-molecular-physics;experimental-particle-physics,https://www.nature.com/articles/nphys4318,13
research highlights,Honeycomb recipe,,,[],True,['Luke Fleet'],"Fleet, L. Honeycomb recipe. Nature Phys13, 1037 (2017).",93,4,0,aplusplus,10.1038/nphys4319,https://doi.org/10.1038/nphys4319,,11,nphys,nature physics,1509494400,2017-11-01,ferromagnetism;quantum-hall;spintronics;topological-matter,https://www.nature.com/articles/nphys4319,13
