contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Sense or sensibility?,,,[],True,[],"Sense or sensibility?. Nature Phys12, 523 (2016).",120,106,0,aplusplus,10.1038/nphys3797,https://doi.org/10.1038/nphys3797,,6,nphys,nature physics,1464825600,2016-06-02,scientific-community-and-society,https://www.nature.com/articles/nphys3797,12
commentary,Defining gravity,,,"[{'address': 'Joey Shapiro Key is Director of Education and Outreach for the Center for Gravitational Wave Astronomy at the University of Texas Rio Grande Valley, Brownsville, Texas 78520, USA ', 'authors': ['Joey Shapiro Key']}, {'address': 'Martin Hendry is Head of the School of Physics and Astronomy, University of Glasgow, Glasgow G12 8QQ, UK ', 'authors': ['Martin Hendry']}]",False,"['Joey Shapiro Key', 'Martin Hendry']","Key, J., Hendry, M. Defining gravity. Nature Phys12, 524–525 (2016).",37,15,0,aplusplus,10.1038/nphys3786,https://doi.org/10.1038/nphys3786,2017 Nobel Prize in Physics,6,nphys,nature physics,1464825600,2016-06-02,astronomy-and-astrophysics;scientific-community-and-society,https://www.nature.com/articles/nphys3786,12
thesis,Beyond climate,,,[],True,['Mark Buchanan'],"Buchanan, M. Beyond climate. Nature Phys12, 526 (2016).",12,1,0,aplusplus,10.1038/nphys3785,https://doi.org/10.1038/nphys3785,,6,nphys,nature physics,1464825600,2016-06-02,climate-change;physics,https://www.nature.com/articles/nphys3785,12
books & arts,An entertaining view of science,,,"[{'address': ""Rhett Allain is an Associate Professor of Physics at Southeastern Louisiana University and the author of Wired magazine's science blog Dot Physics"", 'authors': ['Rhett Allain']}]",True,['Rhett Allain'],"Allain, R. An entertaining view of science. Nature Phys12, 527 (2016).",13,2,0,aplusplus,10.1038/nphys3780,https://doi.org/10.1038/nphys3780,,6,nphys,nature physics,1464825600,2016-06-02,culture,https://www.nature.com/articles/nphys3780,12
research highlights,Loopy glasses,,,[],True,['Bart Verberck'],"Verberck, B. Loopy glasses. Nature Phys12, 528 (2016).",14,0,0,aplusplus,10.1038/nphys3788,https://doi.org/10.1038/nphys3788,,6,nphys,nature physics,1464825600,2016-06-02,glasses;phase-transitions-and-critical-phenomena;polymers,https://www.nature.com/articles/nphys3788,12
research highlights,Spinning around,,,[],True,['Iulia Georgescu'],"Georgescu, I. Spinning around. Nature Phys12, 528 (2016).",35,0,0,aplusplus,10.1038/nphys3789,https://doi.org/10.1038/nphys3789,,6,nphys,nature physics,1464825600,2016-06-02,carbon-nanotubes-and-fullerenes;magnetic-properties-and-materials,https://www.nature.com/articles/nphys3789,12
research highlights,Match maker,,,[],True,['Abigail Klopper'],"Klopper, A. Match maker. Nature Phys12, 528 (2016).",11,1,1,aplusplus,10.1038/nphys3790,https://doi.org/10.1038/nphys3790,,6,nphys,nature physics,1464825600,2016-06-02,statistical-physics,https://www.nature.com/articles/nphys3790,12
research highlights,Precision scales,,,[],True,['May Chiao'],"Chiao, M. Precision scales. Nature Phys12, 528 (2016).",8,0,0,aplusplus,10.1038/nphys3791,https://doi.org/10.1038/nphys3791,,6,nphys,nature physics,1464825600,2016-06-02,galaxies-and-clusters;stars,https://www.nature.com/articles/nphys3791,12
research highlights,Lead a double life,,,[],True,['Luke Fleet'],"Fleet, L. Lead a double life. Nature Phys12, 528 (2016).",69,0,0,aplusplus,10.1038/nphys3792,https://doi.org/10.1038/nphys3792,,6,nphys,nature physics,1464825600,2016-06-02,topological-matter,https://www.nature.com/articles/nphys3792,12
news & views,Rogue waves caught in 3D,,,"[{'address': 'Jeremiah Williams is in the Department of Physics, Wittenberg University, Springfield, Ohio 45504, USA', 'authors': ['Jeremiah Williams']}]",False,['Jeremiah Williams'],"Williams, J. Rogue waves caught in 3D. Nature Phys12, 529–530 (2016).",79,2,5,aplusplus,10.1038/nphys3696,https://doi.org/10.1038/nphys3696,,6,nphys,nature physics,1456704000,2016-02-29,acoustics;particle-physics;plasma-physics,https://www.nature.com/articles/nphys3696,12
